,area,BL13noshock,BL1noshock,BL20noshock,BL19noshock,BL15noshock,BL11noshock,BL7noshock
0,"Frontal pole, cerebral cortex",641.585633064574,25.6634253225829,318.959714723531,273.132169504633,9.16550904377962,170.478468214301,263.966660460853
1,Primary motor area,3667.02763568227,331.892096362013,578.48876846814,337.972562249561,236.293660463336,1104.28016591086,1422.32231219568
2,Secondary motor area,1670.22393988257,145.510272321439,372.9157732861,361.070213428776,217.461080343698,439.016922119557,1048.25892663324
3,Primary somatosensory area,3590.77054639539,528.524479649449,305.769188755622,332.934468132918,223.714065460084,1028.28572231117,1279.00527138751
4,Supplemental somatosensory area,2605.46314907596,421.74000867587,173.994244785372,139.025852106217,153.437068483081,318.530267859213,1010.90444290648
5,Visceral area,303.784426877956,326.548634576821,167.199180684766,146.789891023715,115.390983852867,244.911475932616,1287.35519400477
6,Dorsal auditory area,2805.64658432064,473.405596168389,343.332493067809,477.943029997479,225.359213511469,476.430552054449,1783.21149483237
7,Primary auditory area,2653.36599151283,1136.02983977556,243.685413161733,304.168483334969,231.413485880207,262.093304084022,1269.26790740356
8,Posterior auditory area,2089.3796243597,696.459874786567,203.98406374502,338.030734206032,192.327831531018,136.960728514513,1322.98235628913
9,Ventral auditory area,1126.58441777928,352.881527801251,146.019942538449,549.602839276661,185.567010309279,257.562954199764,1218.86090924455
10,Anterolateral visual area,2958.19561796546,424.679436541391,395.558560892838,1140.56762956831,274.221579023869,470.787489651599,1929.2580117166
11,Anteromedial visual area,470.621831941171,84.5291639894336,100.521167987435,1215.39230384807,70.8217319911471,210.180623973727,1274.79117584065
12,Lateral visual area,2599.91077808616,416.895314270375,432.055143880207,930.813538043673,95.5069265419404,291.068728508771,1626.64971713495
13,Primary visual area,1323.65600044014,367.546796111574,283.853384174598,897.334219246607,61.4835097401086,255.14302279816,1090.72287983884
14,Posterolateral visual area,591.209683774102,591.209683774102,146.638622353419,379.398340374719,100.086678749159,46.55194360426,204.828551858744
16,Laterointermediate area,0,0,0,0,0,0,0
17,Postrhinal area,0,0,0,0,0,0,0
18,Anterior cingulate area,1484.75278686662,210.203260571586,620.355964125901,1108.43768135554,162.010317903954,40.6734764358029,929.337667470152
19,Prelimbic area,725.726250206434,67.3273543880834,529.224320538888,775.830327890589,339.768276795677,29.7492961249671,743.732403124177
20,Infralimbic area,780.941943429175,80.2634775191096,852.528288243516,763.587678019638,2227.85382194934,54.2320794048038,872.051836829245
21,Orbital area,1275.69170043603,120.171514956243,164.105187090783,506.5293963747,1056.66942317707,270.708950358417,711.660880238178
22,Agranular insular area,659.03148790265,446.737111570763,213.236859689631,593.528894539426,335.288454517508,478.074683215759,802.288958279773
23,Retrosplenial area,918.092426343835,278.528533846362,420.331472301997,822.166909153259,47.5094243930644,62.016118864229,782.817500400225
24,Anterior area,0,0,0,0,0,0,0
25,Rostrolateral visual area,2514.50122572129,642.655100886291,1001.09372053555,1450.04714312653,108.617763530077,700.584574768999,1484.44276824439
26,Perirhinal area,821.954846559416,220.629985129106,387.183993510883,919.29160470461,549.411923752873,1873.19183452751,3209.94997972151
27,Ectorhinal area,0,0,0,0,0,0,0
28,Main olfactory bulb,4010.20903322705,1012.82611467519,508.761367364667,1478.14374653907,364.80996270529,503.712500806467,479.290076524941
29,Accessory olfactory bulb,4593.7639608847,1271.65842900602,392.117374254533,1102.83011509087,612.683397272708,149.767052666662,884.987129393911
30,Anterior olfactory nucleus,446.625231708647,317.13493015423,138.79499388168,1143.3140697125,165.933679836199,324.501144913314,531.14285368129
31,Taenia tecta,389.48684871343,180.247959113335,297.47215629893,1308.37329761987,510.49247161469,141.173226718136,535.701976385786
32,Dorsal peduncular area,378.499378195386,74.2849246925524,173.331490949289,385.57413292801,187.481000414537,102.583943623049,385.57413292801
33,Piriform area,2203.34427854639,511.237780965964,400.593082476712,1384.0466302093,135.506825679545,430.394705135275,571.170325980975
